riscv64-linux-gnu-gcc -Wall -Werror -O -fno-omit-frame-pointer -ggdb -gdwarf-2 -MD -mcmodel=medany -ffreestanding -fno-common -nostdlib -mno-relax -I. -fno-stack-protector -D MLFQ -fno-pie -no-pie   -c -o kernel/proc.o kernel/proc.c
riscv64-linux-gnu-ld -z max-page-size=4096 -T kernel/kernel.ld -o kernel/kernel kernel/entry.o kernel/start.o kernel/console.o kernel/printf.o kernel/uart.o kernel/kalloc.o kernel/spinlock.o kernel/string.o kernel/main.o kernel/vm.o kernel/proc.o kernel/swtch.o kernel/trampoline.o kernel/trap.o kernel/syscall.o kernel/sysproc.o kernel/bio.o kernel/fs.o kernel/log.o kernel/sleeplock.o kernel/file.o kernel/pipe.o kernel/exec.o kernel/sysfile.o kernel/kernelvec.o kernel/plic.o kernel/virtio_disk.o 
riscv64-linux-gnu-objdump -S kernel/kernel > kernel/kernel.asm
riscv64-linux-gnu-objdump -t kernel/kernel | sed '1,/SYMBOL TABLE/d; s/ .* / /; /^$/d' > kernel/kernel.sym
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

GRAPH 12 107 1 3
GRAPH 13 107 1 4
GRAPH 9 108 0 4
GRAPH 10 108 0 3
GRAPH 11 108 0 3
GRAPH 12 108 0 3
GRAPH 13 108 0 3
GRAPH 4 109 1 3
GRAPH 5 109 1 3
GRAPH 6 109 1 3
GRAPH 7 109 1 3
GRAPH 8 109 1 3
GRAPH 9 109 1 3
GRAPH 10 109 0 4
GRAPH 11 109 0 3
GRAPH 12 109 0 3
GRAPH 13 109 0 3
GRAPH 4 110 1 3
GRAPH 5 110 1 3
GRAPH 6 110 1 3
GRAPH 7 110 1 3
GRAPH 8 110 1 3
GRAPH 9 110 1 3
GRAPH 10 110 1 3
GRAPH 11 110 0 4
GRAPH 12 110 0 3
GRAPH 13 110 0 3
GRAPH 4 111 1 3
GRAPH 5 111 1 3
GRAPH 6 111 1 3
GRAPH 7 111 1 3
GRAPH 8 111 1 3
GRAPH 9 111 1 3
GRAPH 10 111 1 3
GRAPH 11 111 1 3
GRAPH 12 111 0 4
GRAPH 13 111 0 3
GRAPH 4 112 1 3
GRAPH 5 112 1 3
GRAPH 6 112 1 3
GRAPH 7 112 1 3
GRAPH 8 112 1 3
GRAPH 9 112 1 3
GRAPH 10 112 1 3
GRAPH 11 112 1 3
GRAPH 12 112 1 3
GRAPH 13 112 0 4
GRAPH 9 113 1 4
GRAPH 10 113 1 3
GRAPH 11 113 1 3
GRAPH 12 113 1 3
GRAPH 13 113 1 3
GRAPH 4 114 2 3
GRAPH 5 114 2 3
GRAPH 6 114 2 3
GRAPH 7 114 2 3
GRAPH 8 114 2 3
GRAPH 9 114 2 3
GRAPH 10 114 1 4
GRAPH 11 114 1 3
GRAPH 12 114 1 3
GRAPH 13 114 1 3
GRAPH 4 115 2 3
GRAPH 5 115 2 3
GRAPH 6 115 2 3
GRAPH 7 115 2 3
GRAPH 8 115 2 3
GRAPH 9 115 2 3
GRAPH 10 115 2 3
GRAPH 11 115 1 4
GRAPH 12 115 1 3
GRAPH 13 115 1 3
GRAPH 4 116 2 3
GRAPH 5 116 2 3
GRAPH 6 116 2 3
GRAPH 7 116 2 3
GRAPH 8 116 2 3
GRAPH 9 116 2 3
GRAPH 10 116 2 3
GRAPH 11 116 2 3
GRAPH 12 116 1 4
GRAPH 13 116 1 3
GRAPH 4 117 2 3
GRAPH 5 117 2 3
GRAPH 6 117 2 3
GRAPH 7 117 2 3
GRAPH 8 117 2 3
GRAPH 9 117 2 3
GRAPH 10 117 2 3
GRAPH 11 117 2 3
GRAPH 12 117 2 3
GRAPH 13 117 1 4
GRAPH 9 118 2 4
GRAPH 10 118 2 3
GRAPH 11 118 2 3
GRAPH 12 118 2 3
GRAPH 13 118 2 3
GRAPH 4 119 2 3
GRAPH 5 119 2 3
GRAPH 6 119 2 3
GRAPH 7 119 2 3
GRAPH 8 119 2 3
GRAPH 9 119 2 3
GRAPH 10 119 2 4
GRAPH 11 119 2 3
GRAPH 12 119 2 3
GRAPH 13 119 2 3
GRAPH 4 120 2 3
GRAPH 5 120 2 3
GRAPH 6 120 2 3
GRAPH 7 120 2 3
GRAPH 8 120 2 3
GRAPH 9 120 2 3
GRAPH 10 120 2 3
GRAPH 11 120 2 4
GRAPH 12 120 2 3
GRAPH 13 120 2 3
GRAPH 4 121 2 3
GRAPH 5 121 2 3
GRAPH 6 121 2 3
GRAPH 7 121 2 3
GRAPH 8 121 2 3
GRAPH 9 121 2 3
GRAPH 10 121 2 3
GRAPH 11 121 2 3
GRAPH 12 121 2 4
GRAPH 13 121 2 3
GRAPH 4 122 2 3
GRAPH 5 122 2 3
GRAPH 6 122 2 3
GRAPH 7 122 2 3
GRAPH 8 122 2 3
GRAPH 9 122 2 3
GRAPH 10 122 2 3
GRAPH 11 122 2 3
GRAPH 12 122 2 3
GRAPH 13 122 2 4
GRAPH 9 123 2 4
GRAPH 10 123 2 3
